MG-RAST ID	Metagenome Name	bp Count	Sequence Count	Biome	Feature	Material	Location	Country	Coordinates	Sequence Type	Sequence Method
4441578.3	GS001c Shotgun - Open Ocean - Sargasso Sea - Hydrostation S - Bermuda	92,688,958	92,351	marine habitat	marine habitat	marine habitat	Sargasso Sea	Bermuda	32.1667, -64.5	MT	other
4441149.3	GS116 Shotgun - Open Ocean - Indian Ocean - Outside Seychelles, Indian Ocean - Seychelles	64,223,447	60,932	marine habitat	marine habitat	marine habitat	Outside Seychelles, Indian Ocean	Seychelles	-4.635, 56.8361	WGS	other
4441152.3	GS004 Shotgun - Coastal - North American East Coast - Outside Halifax, Nova Scotia - Canada	56,922,096	52,959	marine habitat	marine habitat	marine habitat	Outside Halifax, Nova Scotia	Canada	44.1372, -63.644	WGS	other
4441127.3	GS042 Shotgun - Open Ocean - Tropical South Pacific - Tropical South Pacific - International	788,466	699	marine habitat	marine habitat	marine habitat	Tropical South Pacific	 	-7.1075, -116.119	WGS	other
4441147.3	GS112b Shotgun - Open Ocean - Indian Ocean - Indian Ocean - International	55,638,894	52,118	marine habitat	marine habitat	marine habitat	Indian Ocean	 	-8.505, 80.3756	WGS	other
4441145.3	GS037 Shotgun - Open Ocean - Eastern Tropical Pacific - Equatorial Pacific TAO Buoy - International	68,651,473	65,670	marine habitat	marine habitat	marine habitat	Equatorial Pacific TAO Buoy	 	-1.97389, -95.01472	WGS	other
4441573.3	GS000b Shotgun - Open Ocean - Sargasso Sea - Sargasso Station 13 - Bermuda	321,026,307	317,180	marine habitat	marine habitat	marine habitat	Sargasso Sea	Bermuda	31.175, -64.324	WGS	other
4441568.3	GS119 Shotgun - Open Ocean - Indian Ocean - International Water Outside of Reunion Island - International	65,055,874	60,987	marine habitat	marine habitat	marine habitat	Indian Ocean - International Water Outside of Reunion Island	 	-23.2161, 52.3061	WGS	other
4441586.3	GS015 Shotgun - Coastal - Caribbean Sea - Off Key West, FL - USA	138,034,062	127,362	marine habitat	marine habitat	marine habitat	Caribbean Sea, Off Key West, FL	United States of America	24.4883, -83.07	MT	other
4441588.3	GS018 Shotgun - Open Ocean - Caribbean Sea - Rosario Bank - Honduras	156,474,992	142,743	marine habitat	marine habitat	marine habitat	Caribbean Sea, Rosario Bank	Honduras	18.0367, -83.785	MT	other
